date,vn.consump,hcm.tempmax
2024-04-20,912.7,35
2024-04-21,836.5,37
2024-04-22,908.2,36
2024-04-23,942.1,36
2024-04-24,940.0,37
2024-04-25,958.5,37
2024-04-26,987.4,37
2024-04-27,978.7,37
2024-04-28,907.1,38
2024-04-29,872.4,39
2024-04-30,789.6,37
2024-05-01,720.3,38
2024-05-02,863.8,38
2024-05-03,908.8,37.6
2024-05-04,905.6,36.6
2024-05-05,814.2,35.4
2024-05-06,890.7,36
2024-05-07,918.0,36
2024-05-08,926.2,36.4
2024-05-09,918.2,36
2024-05-10,937.9,37.8
2024-05-11,921.9,36.9
2024-05-12,853.7,37.1
2024-05-13,912.2,36.6
2024-05-14,939.3,36
2024-05-15,932.5,37.4
2024-05-16,906.6,35.4
2024-05-17,916.7,33.6
2024-05-18,910.2,35.4
2024-05-19,826.4,35
2024-05-20,892.1,36
2024-05-21,899.6,34.4
2024-05-22,911.8,35
2024-05-23,908.6,33
2024-05-24,919.5,37
2024-05-25,844.1,37
2024-05-26,844,1,35
2024-05-27,969,5,37
